age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-loss,hours-per-week,native-country,income
0.21917808219178087,1,9,0.8,4,9,1,4,0.0,0.0,0.5,0.95,1
0.26027397260273977,3,8,0.6666666666666667,2,3,0,4,1.0,0.43319559228650145,0.5,0.95,1
0.5616438356164384,5,6,0.2666666666666667,5,2,1,4,1.0,0.0,0.3979591836734694,0.95,0
0.05479452054794523,3,8,0.6666666666666667,2,4,0,4,1.0,0.0,0.45918367346938777,0.95,0
0.13698630136986306,3,15,0.6,0,7,1,4,1.0,0.0,0.3979591836734694,0.95,0
0.36986301369863017,3,9,0.8,2,2,0,4,1.0,0.0,0.11224489795918369,0.95,0
0.21917808219178087,3,0,0.33333333333333337,4,6,1,4,0.0,0.0,0.4489795918367347,0.95,0
0.6164383561643836,5,9,0.8,2,3,0,4,1.0,0.0,0.3979591836734694,0.95,0
0.0410958904109589,3,11,0.5333333333333333,4,9,2,4,0.0,0.0,0.3979591836734694,0.95,0
0.21917808219178087,3,11,0.5333333333333333,0,7,4,4,0.0,0.0,0.29591836734693877,0.95,0
0.09589041095890416,3,9,0.8,4,11,3,4,0.0,0.0,0.14285714285714285,0.95,0
0.26027397260273977,3,14,0.9333333333333333,2,9,0,4,1.0,0.0,0.6020408163265306,0.95,1
0.3561643835616439,3,15,0.6,2,9,5,4,0.0,0.43319559228650145,0.5,0.95,1
0.32876712328767127,3,11,0.5333333333333333,0,11,4,2,0.0,0.0,0.3775510204081633,0.95,0
0.31506849315068497,3,7,0.7333333333333334,0,3,1,4,0.0,0.0,0.3979591836734694,0.95,0
0.13698630136986306,3,11,0.5333333333333333,2,5,0,4,1.0,0.0,0.3979591836734694,0.625,0
0.17808219178082196,3,0,0.33333333333333337,4,2,1,4,1.0,0.0,0.5,0.95,0
0.28767123287671237,3,9,0.8,5,3,1,4,1.0,0.0,0.4489795918367347,0.95,1
0.10958904109589043,3,11,0.5333333333333333,4,5,1,4,1.0,0.0,0.653061224489796,0.95,0
0.0410958904109589,3,11,0.5333333333333333,4,7,1,4,1.0,0.0,0.07142857142857145,0.95,0
0.12328767123287676,3,8,0.6666666666666667,4,11,3,4,0.0,0.0,0.3469387755102041,0.95,0
0.10958904109589043,3,9,0.8,4,9,1,4,0.0,0.43067033976124897,0.3979591836734694,0.95,0
0.27397260273972607,3,11,0.5333333333333333,4,6,1,2,1.0,0.0,0.3979591836734694,0.95,0
